[ ssh/interactive_shell ] trial  3 measure  99/100: 77.09 ms
[ ssh/interactive_shell ] trial  3 measure 100/100: 82.88 ms
[ ssh/vim               ] trial  1/3 opening session...
[ ssh/vim               ] trial  1/3 session_setup=2304.4 ms
[ ssh/vim               ] trial  1 measure   1/100: 69.86 ms
[ ssh/vim               ] trial  1 measure   2/100: 33.97 ms
[ ssh/vim               ] trial  1 measure   3/100: 29.07 ms
[ ssh/vim               ] trial  1 measure   4/100: 38.84 ms
[ ssh/vim               ] trial  1 measure   5/100: 25.62 ms
[ ssh/vim               ] trial  1 measure   6/100: 46.01 ms
[ ssh/vim               ] trial  1 measure   7/100: 74.39 ms
[ ssh/vim               ] trial  1 measure   8/100: 55.54 ms
[ ssh/vim               ] trial  1 measure   9/100: 26.13 ms
[ ssh/vim               ] trial  1 measure  10/100: 41.36 ms
[ ssh/vim               ] trial  1 measure  11/100: 50.10 ms
[ ssh/vim               ] trial  1 measure  12/100: 46.31 ms
[ ssh/vim               ] trial  1 measure  13/100: 48.85 ms
[ ssh/vim               ] trial  1 measure  14/100: 156.10 ms
[ ssh/vim               ] trial  1 measure  15/100: 69.61 ms
[ ssh/vim               ] trial  1 measure  16/100: 42.14 ms
[ ssh/vim               ] trial  1 measure  17/100: 49.24 ms
[ ssh/vim               ] trial  1 measure  18/100: 33.92 ms
[ ssh/vim               ] trial  1 measure  19/100: 48.11 ms
[ ssh/vim               ] trial  1 measure  20/100: 91.20 ms
[ ssh/vim               ] trial  1 measure  21/100: 29.64 ms
[ ssh/vim               ] trial  1 measure  22/100: 27.18 ms
[ ssh/vim               ] trial  1 measure  23/100: 50.67 ms
[ ssh/vim               ] trial  1 measure  24/100: 46.18 ms
[ ssh/vim               ] trial  1 measure  25/100: 41.18 ms
[ ssh/vim               ] trial  1 measure  26/100: 33.60 ms
[ ssh/vim               ] trial  1 measure  27/100: 43.03 ms
[ ssh/vim               ] trial  1 measure  28/100: 62.85 ms
[ ssh/vim               ] trial  1 measure  29/100: 84.50 ms
[ ssh/vim               ] trial  1 measure  30/100: 58.65 ms
[ ssh/vim               ] trial  1 measure  31/100: 80.94 ms
[ ssh/vim               ] trial  1 measure  32/100: 57.81 ms
[ ssh/vim               ] trial  1 measure  33/100: 45.49 ms
[ ssh/vim               ] trial  1 measure  34/100: 27.37 ms
[ ssh/vim               ] trial  1 measure  35/100: 43.17 ms
[ ssh/vim               ] trial  1 measure  36/100: 58.91 ms
[ ssh/vim               ] trial  1 measure  37/100: 36.27 ms
[ ssh/vim               ] trial  1 measure  38/100: 78.39 ms
[ ssh/vim               ] trial  1 measure  39/100: 28.75 ms
