[ ssh/interactive_shell ] trial  1/3 opening session...
[ ssh/interactive_shell ] trial  1/3 session_setup=4185.2 ms
[ ssh/interactive_shell ] trial  3 measure  16/100: 253.13 ms
[ ssh/interactive_shell ] trial  3 measure  17/100: 510.91 ms
[ ssh/interactive_shell ] trial  3 measure  18/100: 212.52 ms
[ ssh/interactive_shell ] trial  3 measure  19/100: 181.50 ms
[ ssh/interactive_shell ] trial  3 measure  20/100: 228.79 ms
[ ssh/interactive_shell ] trial  3 measure  21/100: 765.19 ms
[ ssh/interactive_shell ] trial  3 measure  22/100: 274.59 ms
[ ssh/interactive_shell ] trial  3 measure  23/100: 280.12 ms
[ ssh/interactive_shell ] trial  3 measure  24/100: 239.16 ms
[ ssh/interactive_shell ] trial  3 measure  25/100: 247.81 ms
[ ssh/interactive_shell ] trial  3 measure  26/100: 217.12 ms
[ ssh/interactive_shell ] trial  3 measure  27/100: 301.28 ms
[ ssh/interactive_shell ] trial  3 measure  28/100: 234.67 ms
[ ssh/interactive_shell ] trial  3 measure  29/100: 245.07 ms
[ ssh/interactive_shell ] trial  3 measure  30/100: 239.83 ms
[ ssh/interactive_shell ] trial  3 measure  31/100: 245.12 ms
[ ssh/interactive_shell ] trial  3 measure  32/100: 590.60 ms
[ ssh/interactive_shell ] trial  3 measure  33/100: 392.43 ms
[ ssh/interactive_shell ] trial  3 measure  34/100: 193.99 ms
[ ssh/interactive_shell ] trial  3 measure  35/100: 226.06 ms
[ ssh/interactive_shell ] trial  3 measure  36/100: 232.34 ms
[ ssh/interactive_shell ] trial  3 measure  37/100: 470.52 ms
[ ssh/interactive_shell ] trial  3 measure  38/100: 263.78 ms
[ ssh/interactive_shell ] trial  3 measure  39/100: 270.23 ms
[ ssh/interactive_shell ] trial  3 measure  40/100: 492.92 ms
[ ssh/interactive_shell ] trial  3 measure  41/100: 304.96 ms
[ ssh/interactive_shell ] trial  3 measure  42/100: 284.89 ms
[ ssh/interactive_shell ] trial  3 measure  43/100: 167.39 ms
[ ssh/interactive_shell ] trial  3 measure  44/100: 225.48 ms
[ ssh/interactive_shell ] trial  3 measure  45/100: 265.06 ms
[ ssh/interactive_shell ] trial  3 measure  46/100: 499.34 ms
[ ssh/interactive_shell ] trial  3 measure  47/100: 257.32 ms
[ ssh/interactive_shell ] trial  3 measure  48/100: 219.60 ms
[ ssh/interactive_shell ] trial  3 measure  49/100: 209.37 ms
[ ssh/interactive_shell ] trial  3 measure  50/100: 229.28 ms
[ ssh/interactive_shell ] trial  3 measure  51/100: 197.61 ms
[ ssh/interactive_shell ] trial  3 measure  52/100: 202.53 ms
[ ssh/interactive_shell ] trial  3 measure  53/100: 806.25 ms
[ ssh/interactive_shell ] trial  3 measure  54/100: 684.17 ms
[ ssh/interactive_shell ] trial  3 measure  55/100: 255.65 ms
[ ssh/interactive_shell ] trial  3 measure  56/100: 487.90 ms
[ ssh/interactive_shell ] trial  3 measure  57/100: 291.96 ms
[ ssh/interactive_shell ] trial  3 measure  58/100: 234.78 ms
[ ssh/interactive_shell ] trial  3 measure  59/100: 234.66 ms
[ ssh/interactive_shell ] trial  3 measure  60/100: 236.06 ms
[ ssh/interactive_shell ] trial  3 measure  61/100: 223.10 ms
[ ssh/interactive_shell ] trial  3 measure  62/100: 208.33 ms
[ ssh/interactive_shell ] trial  3 measure  63/100: 220.28 ms
[ ssh/interactive_shell ] trial  3 measure  64/100: 229.41 ms
[ ssh/interactive_shell ] trial  3 measure  65/100: 270.74 ms
[ ssh/interactive_shell ] trial  3 measure  66/100: 222.15 ms
[ ssh/interactive_shell ] trial  3 measure  67/100: 710.60 ms
[ ssh/interactive_shell ] trial  3 measure  68/100: 277.21 ms
[ ssh/interactive_shell ] trial  3 measure  69/100: 211.16 ms
[ ssh/interactive_shell ] trial  3 measure  70/100: 270.09 ms
[ ssh/interactive_shell ] trial  3 measure  71/100: 271.65 ms
[ ssh/interactive_shell ] trial  3 measure  72/100: 291.65 ms
[ ssh/interactive_shell ] trial  3 measure  73/100: 241.55 ms
[ ssh/interactive_shell ] trial  3 measure  74/100: 206.79 ms
[ ssh/interactive_shell ] trial  3 measure  75/100: 451.29 ms
[ ssh/interactive_shell ] trial  3 measure  76/100: 245.14 ms
[ ssh/interactive_shell ] trial  3 measure  77/100: 235.08 ms
[ ssh/interactive_shell ] trial  3 measure  78/100: 259.56 ms
[ ssh/interactive_shell ] trial  3 measure  79/100: 205.95 ms
[ ssh/interactive_shell ] trial  3 measure  80/100: 595.32 ms
[ ssh/interactive_shell ] trial  3 measure  81/100: 228.53 ms
[ ssh/interactive_shell ] trial  3 measure  82/100: 712.46 ms
[ ssh/interactive_shell ] trial  3 measure  83/100: 227.24 ms
[ ssh/interactive_shell ] trial  3 measure  84/100: 223.23 ms
[ ssh/interactive_shell ] trial  3 measure  85/100: 218.03 ms
[ ssh/interactive_shell ] trial  3 measure  86/100: 311.41 ms
[ ssh/interactive_shell ] trial  3 measure  87/100: 341.58 ms
[ ssh/interactive_shell ] trial  3 measure  88/100: 238.18 ms
[ ssh/interactive_shell ] trial  3 measure  89/100: 443.31 ms
[ ssh/interactive_shell ] trial  3 measure  90/100: 240.17 ms
[ ssh/interactive_shell ] trial  3 measure  91/100: 251.38 ms
[ ssh/interactive_shell ] trial  3 measure  92/100: 275.77 ms
[ ssh/interactive_shell ] trial  3 measure  93/100: 221.09 ms
[ ssh/interactive_shell ] trial  3 measure  94/100: 515.85 ms
[ ssh/interactive_shell ] trial  3 measure  95/100: 199.50 ms
[ ssh/interactive_shell ] trial  3 measure  96/100: 666.74 ms
[ ssh/interactive_shell ] trial  3 measure  97/100: 296.43 ms
[ ssh/interactive_shell ] trial  3 measure  98/100: 231.46 ms
[ ssh/interactive_shell ] trial  3 measure  99/100: 331.48 ms
[ ssh/interactive_shell ] trial  3 measure 100/100: 233.16 ms
[ ssh/vim               ] trial  1/3 opening session...
[ ssh/vim               ] trial  1/3 session_setup=4778.0 ms
[ ssh/vim               ] trial  1 measure   1/100: 230.14 ms
[ ssh/vim               ] trial  1 measure   2/100: 230.41 ms
[ ssh/vim               ] trial  1 measure   3/100: 550.22 ms
[ ssh/vim               ] trial  1 measure   4/100: 186.37 ms
[ ssh/vim               ] trial  1 measure   5/100: 242.24 ms
[ ssh/vim               ] trial  1 measure   6/100: 200.74 ms
[ ssh/vim               ] trial  1 measure   7/100: 228.88 ms
[ ssh/vim               ] trial  1 measure   8/100: 235.99 ms
[ ssh/vim               ] trial  1 measure   9/100: 233.96 ms
[ ssh/vim               ] trial  1 measure  10/100: 948.60 ms
[ ssh/vim               ] trial  1 measure  11/100: 245.75 ms
[ ssh/vim               ] trial  1 measure  12/100: 207.57 ms
[ ssh/vim               ] trial  1 measure  13/100: 220.38 ms
[ ssh/vim               ] trial  1 measure  14/100: 197.20 ms
[ ssh/vim               ] trial  1 measure  15/100: 221.30 ms
